Occupancy,SquareFootage,SortOrder
AGR1 ,30000,28
COM1 ,110000,12
COM10,145000,21
COM2 ,30000,13
COM3 ,10000,14
COM4 ,80000,15
COM5 ,4100,16
COM6 ,55000,17
COM7 ,7000,18
COM8 ,5000,19
COM9 ,12000,20
EDU1 ,130000,32
EDU2 ,50000,33
GOV1 ,11000,30
GOV2 ,11000,31
IND1 ,30000,22
IND2 ,30000,23
IND3 ,45000,24
IND4 ,45000,25
IND5 ,45000,26
IND6 ,30000,27
REL1 ,17000,29
RES1 ,1800,1
RES2 ,1475,2
RES3A,2200,3
RES3B,4400,4
RES3C,8000,5
RES3D,15000,6
RES3E,40000,7
RES3F,80000,8
RES4 ,135000,9
RES5 ,25000,10
RES6 ,25000,11
